metric,jpinpoint-common-rules,Design,Error Prone,Best Practices,jpinpoint-concurrent-rules,Multithreading,Performance,jpinpoint-spring-rules,jpinpoint-sql-rules,Security
f1,0.7369376463832206,0.9974012027491408,0.9752252277037293,0.708651744588011,0.4345277942849588,0.6070899995727344,0.8808057431679698,0.3226835650617858,0.0,0.0
precision,0.7010876284764185,1.0,0.9581632653061222,0.8047384179799242,0.6516381608157923,0.5158955457614549,0.9036530876138167,0.6519444444444444,0.0,0.0
recall,0.7901090504517229,0.9948979591836734,0.9938775510204081,0.6420417575176979,0.34737938890464465,0.7531694394892336,0.8639182626828659,0.25674494365283845,0.0,0.0
rocauc,0.5968823201089968,0.0,0.375,0.45568447904744935,0.6163959705316515,0.5818856705149592,0.53035198848429,0.594811376688925,0.0,0.0
test_count,31.2,49.0,46.95,40.3,20.0,22.25,43.7,11.8,0.0,0.0
test_fraction,0.636734693877551,1.0,0.9581632653061222,0.8224489795918368,0.40816326530612246,0.4540816326530613,0.8918367346938776,0.24081632653061225,0.0,0.0
train_count,139.75,267.35,267.35,213.85,84.5,95.0,225.5,37.5,0.0,0.0
train_fraction,0.5175925925925926,0.9901851851851854,0.9901851851851854,0.7920370370370373,0.312962962962963,0.3518518518518518,0.8351851851851851,0.13888888888888887,0.0,0.0
