metric,jpinpoint-common-rules,Design,Error Prone,Best Practices,jpinpoint-concurrent-rules,Multithreading,Performance,jpinpoint-spring-rules,jpinpoint-sql-rules,Security
f1,0.580589246619784,0.9324479082146031,0.8654560252072765,0.6886750763345997,0.3660880658107562,0.46657138104595475,0.5619970413616829,0.2776670376097109,0.0,0.0
precision,0.5934730946460307,0.9456163996987179,0.8918414843065339,0.6885814696437664,0.3208379894246606,0.44066848368005845,0.5618826328226467,0.3133349169048967,0.0,0.0
recall,0.5706255881744325,0.9198807836910644,0.8407697728775542,0.6896625452244544,0.42986101449485076,0.5007191666173573,0.5639842696927337,0.26800514436543843,0.0,0.0
rocauc,0.562479676200634,0.49167186440834454,0.5230194924905818,0.5644405560404114,0.5880418513340714,0.6123816699164085,0.5686848099529027,0.6269011877360589,0.0,0.0
test_count,390.8,694.75,650.45,471.65,159.5,221.5,361.2,15.85,0.0,0.0
test_fraction,0.532425068119891,0.946525885558583,0.8861716621253406,0.6425749318801091,0.21730245231607626,0.3017711171662125,0.4920980926430518,0.021594005449591284,0.0,0.0
train_count,1296.9,2792.35,2554.25,1934.45,666.75,980.8,1421.55,64.3,0.0,0.0
train_fraction,0.44172343324250674,0.9510728882833787,0.8699761580381471,0.6588726158038147,0.22709468664850144,0.33405994550408724,0.48417915531335154,0.021900544959128066,0.0,0.0
