,metric,BLIA_diff,BRTracer_diff,BugLocator_diff
0,jaccard_avg_op,-0.0890135570247021,-0.007764394065579604,-0.3749114883078519
1,hamming_avg_op,-0.14812022903801594,-0.1455622109746571,-0.4015685390015495
2,euclidean_avg_op,-0.14873164100701225,-0.09542884097664273,-0.4194944744689318
3,jaccard_avg_file,-0.13897249390543784,-0.11936376761139549,-0.40431793977302194
4,hamming_avg_file,-0.1872738293588396,-0.2550025285904045,-0.4060887226358136
5,euclidean_avg_file,-0.1802953366021653,-0.20398465521171458,-0.4204862201000964
6,jaccard_sum,-0.17506519890499941,-0.2126252324866835,-0.39922749199258034
7,hamming_sum,-0.2155730273425557,-0.33728440736750004,-0.3885336289481978
8,euclidean_sum,-0.2064071514689997,-0.29039322066407086,-0.40040502161727565
9,files_count,-0.06751980379780256,-0.08106855996970042,-0.4155505356663688
10,f1,-0.010933059174438165,-0.0860324950982615,-0.04740309573341763
11,precision,-0.01554638495837538,-0.08857755301334579,-0.044954227133263844
12,recall,0.002961501286654047,-0.07578477255800256,-0.06180484607471249
13,rocauc,0.09030266614542437,0.028099765517907098,-0.0330939329880508
