,tool,ap_ext,ap_orig
0,BLIA,0.441910266644104,0.42934790049188093
1,BRTracer,0.4927612787498654,0.4927612787498654
2,BugLocator,0.43450119877639376,0.4308213409185617
3,BLIA,0.3950783677178309,0.3854388803603463
4,BRTracer,0.5115333029606296,0.5109578747570757
5,BugLocator,0.4516774670696053,0.4554823339931557
6,BLIA,0.4083797067093067,0.4003926790451641
7,BRTracer,0.5045812496369134,0.5172488436000197
8,BugLocator,0.4616822890917894,0.4619925496035197
9,BLIA,0.5128953144850219,0.5107249600234318
10,BRTracer,0.5539610318173562,0.5557370637132822
11,BugLocator,0.5072060288500211,0.5055499471576022
12,BLIA,0.3898636395334351,0.4038462063053331
13,BRTracer,0.44650331522831777,0.4538478732370052
14,BugLocator,0.4543203544021762,0.4587772954956407
15,BLIA,0.4678966963071773,0.4650434791729242
16,BRTracer,0.5494947880428959,0.5495079109558971
17,BugLocator,0.4890213142784239,0.4868258982850111
18,BLIA,0.4438262565543433,0.4438262565543433
19,BRTracer,0.5313093126328828,0.53130923124018
20,BugLocator,0.4558792100276675,0.4549148140506477
21,BLIA,0.4513634248650651,0.4492879480777841
22,BRTracer,0.5159814464740136,0.5225627742755335
23,BugLocator,0.4309195616778316,0.4522341980226226
24,BLIA,0.4289698052327557,0.4289698052327557
25,BRTracer,0.4443759907966463,0.45504805278678
26,BugLocator,0.4034103368261237,0.4034118248864054
27,BLIA,0.4823044669417355,0.4823044669417355
28,BRTracer,0.4739040339622008,0.4739050802529998
29,BugLocator,0.4276915473884499,0.4276084974862688
30,BLIA,0.4371662278827068,0.43184670056881946
31,BRTracer,0.4701272622676712,0.4702330472509017
32,BugLocator,0.4221061182565263,0.4215334737166969
33,BLIA,0.4448044686508229,0.4274981771918298
34,BRTracer,0.482405294415625,0.510837400579346
35,BugLocator,0.4194884629770072,0.4249412735747573
36,BLIA,0.4311475591333032,0.4141481583721529
37,BRTracer,0.5295862125574415,0.529586782789198
38,BugLocator,0.4506862612851379,0.45117787622645505
39,BLIA,0.4479256282770686,0.4486404525798189
40,BRTracer,0.4570091757571434,0.4570095735464786
41,BugLocator,0.40360518799149603,0.4074451149835784
42,BLIA,0.4060084807516897,0.4146024132611016
43,BRTracer,0.360881057430825,0.3604069506218919
44,BugLocator,0.3587982704346244,0.35879927566610875
45,BLIA,0.4186682550921185,0.4078645455828426
46,BRTracer,0.5384882430278971,0.5384645153593706
47,BugLocator,0.4765173729721201,0.4774334096883246
48,BLIA,0.4499353083977937,0.4499353083977937
49,BRTracer,0.5348384764929914,0.5348384764929914
50,BugLocator,0.4254742200233212,0.4261234277405965
51,BLIA,0.4905980154318712,0.5090005027358573
52,BRTracer,0.5506348571327416,0.5514343134081364
53,BugLocator,0.5391585549063367,0.5391588624186598
54,BLIA,0.4929744573626858,0.491977119459063
55,BRTracer,0.5559430293041325,0.5559658463077202
56,BugLocator,0.4802912006423313,0.4827515020009535
57,BLIA,0.4467222480949557,0.4477077099044014
58,BRTracer,0.4747977561541682,0.4769596986667237
59,BugLocator,0.4325401331730336,0.4370849352477259
