,tool,ap_ext,ap_orig
0,BLIA,0.4303827227589499,0.4290940705981191
1,BRTracer,0.4912369028686793,0.4939640768743981
2,BugLocator,0.4755042954604964,0.4504190380884122
3,BLIA,0.4247826295785613,0.4235371480421763
4,BRTracer,0.5032740151661426,0.4985145400201108
5,BugLocator,0.4977729150823368,0.4671116599757745
6,BLIA,0.47775503539588704,0.4836245266831059
7,BRTracer,0.5309502718345628,0.5504338528707056
8,BugLocator,0.5034920175534321,0.4923657662622921
9,BLIA,0.4956794618755808,0.4889078491607572
10,BRTracer,0.5442591767169837,0.5582585076427485
11,BugLocator,0.490316845895758,0.4650409465314477
12,BLIA,0.4260096649960755,0.399158249766244
13,BRTracer,0.4472834950867362,0.4627418429345843
14,BugLocator,0.4618598991865922,0.4560982476533762
15,BLIA,0.4402729336300549,0.4388565136431119
16,BRTracer,0.526050335114056,0.5138472033663575
17,BugLocator,0.4800878867297223,0.4713938208819112
18,BLIA,0.439075450024942,0.4333618270785938
19,BRTracer,0.4713036412466973,0.4654893666397459
20,BugLocator,0.42573281718113465,0.4009330176635957
21,BLIA,0.4266715818099371,0.4240650878615094
22,BRTracer,0.5086368267081672,0.4977460375629661
23,BugLocator,0.4783540351094139,0.4458990496896208
24,BLIA,0.5104239799753891,0.4967477997816242
25,BRTracer,0.5049727425326385,0.5059036385835751
26,BugLocator,0.4839738821561457,0.4866826645002336
27,BLIA,0.4625398395518202,0.4618491657422818
28,BRTracer,0.5195737685952712,0.5112974752421486
29,BugLocator,0.4453045236903507,0.4300632908450455
30,BLIA,0.4367922648697072,0.4291278800854462
31,BRTracer,0.4707581749937406,0.4699243493731024
32,BugLocator,0.4616548302888401,0.4400709862747762
33,BLIA,0.5568717014354964,0.543760375558568
34,BRTracer,0.5579643212673207,0.5589274716882793
35,BugLocator,0.5096470086735165,0.4976881215664621
36,BLIA,0.4370994862941466,0.4393990028057405
37,BRTracer,0.5243447067464121,0.5246808363401386
38,BugLocator,0.49645749703679903,0.5001414855395779
39,BLIA,0.5133588449168296,0.5021088425463289
40,BRTracer,0.5606732823302168,0.5784875465845896
41,BugLocator,0.5632337361616818,0.5432417165920086
42,BLIA,0.5035338151752529,0.4902166210905444
43,BRTracer,0.5568123926545394,0.559520236127136
44,BugLocator,0.5581301393841642,0.5434940625890498
45,BLIA,0.5184836950689065,0.5191104812668169
46,BRTracer,0.5572288298851724,0.5652166553752982
47,BugLocator,0.5254811892592652,0.5126527063199149
48,BLIA,0.4968695544778408,0.4956574721709317
49,BRTracer,0.5148666452331659,0.5124734665554415
50,BugLocator,0.4664134694082298,0.4519451505132538
51,BLIA,0.4422093324354671,0.43463663200564345
52,BRTracer,0.5181911131407909,0.5227420574927897
53,BugLocator,0.4643214947334838,0.4531280257694002
54,BLIA,0.4346808681350969,0.4342670969806831
55,BRTracer,0.4722690011584663,0.4824369945166544
56,BugLocator,0.4599346506605217,0.4536586991451833
57,BLIA,0.4378236948220625,0.4349858619348829
58,BRTracer,0.5232056838860536,0.5210285058066417
59,BugLocator,0.4911513515720575,0.4877074569438145
