,Performance,jpinpoint-common-rules,Best Practices,Multithreading,jpinpoint-concurrent-rules,project,size,mean_bug_report_len,mean_file_count
0,2838,2710,3738,1945,1386,BENCH4BL,5622,1338.2426182853078,1.5451796513696194
1,398,248,366,166,172,ROO,473,1305.860465116279,1.547568710359408
2,344,301,373,274,260,HBASE,390,1358.1923076923076,1.5743589743589743
3,425,648,840,494,267,CAMEL,1198,1134.9782971619366,1.6160267111853088
