metric,jpinpoint-common-rules,Design,Error Prone,Best Practices,jpinpoint-concurrent-rules,Multithreading,Performance,jpinpoint-spring-rules,jpinpoint-sql-rules,Security
f1,0.8206130661232043,0.9740028371651853,0.9710769881358331,0.9737241975572362,0.7010726679340445,0.7826835331538028,0.8409349452067147,0.0,0.0,0.0
precision,0.9231234088184891,0.9573454301075269,0.9788968066370038,0.969405721966206,0.7207473742885642,0.7758342270731811,0.8441159103873955,0.0,0.0,0.0
recall,0.7439082925710427,0.991720430107527,0.9648655913978492,0.9788037634408603,0.7046077564058113,0.8032774947441366,0.8401769875676995,0.0,0.0,0.0
rocauc,0.6265895629521882,0.39586021505376345,0.2636827956989247,0.2925268817204301,0.4932089453579728,0.5795635309218516,0.46240992235527834,0.0,0.0,0.0
test_count,28.2,30.65,31.35,31.05,23.3,23.65,27.4,0.0,0.0,0.0
test_fraction,0.88125,0.9578125,0.9796875,0.9703125,0.728125,0.7390625,0.85625,0.0,0.0,0.0
train_count,70.25,91.1,92.55,90.75,65.0,62.6,82.4,0.0,0.0,0.0
train_fraction,0.7473404255319148,0.969148936170213,0.9845744680851066,0.9654255319148939,0.6914893617021277,0.6659574468085105,0.8765957446808512,0.0,0.0,0.0
