metric,jpinpoint-common-rules,Design,Error Prone,Best Practices,jpinpoint-concurrent-rules,Multithreading,Performance,jpinpoint-spring-rules,jpinpoint-sql-rules,Security
f1,0.5237404148838125,0.9695145880359732,0.834053340573434,0.6781198034001186,0.2574031156179916,0.4494629302483271,0.4321806981008366,0.0,0.0,0.0
precision,0.6063006006749561,0.9759235506474842,0.8996702192982479,0.7270227807648523,0.2127418829655885,0.44055844994760596,0.47848310135783584,0.0,0.0,0.0
recall,0.4666820370352675,0.9635033628352587,0.7790929756518385,0.6419334273912715,0.3363634105309584,0.4723647999653015,0.40209438352599164,0.0,0.0,0.0
rocauc,0.5346233809468026,0.45729222195817,0.48474358262316636,0.5115434971506357,0.5183160639003703,0.5517046230447124,0.5580752786059472,0.0,0.0,0.0
test_count,105.35,180.7,166.95,133.15,35.9,70.15,73.5,0.0,0.0,0.0
test_fraction,0.5694594594594595,0.976756756756757,0.9024324324324328,0.7197297297297297,0.19405405405405401,0.3791891891891892,0.39729729729729735,0.0,0.0,0.0
train_count,306.0,575.4,518.45,419.8,131.3,242.2,195.0,2.6,0.0,0.0
train_fraction,0.5168918918918919,0.9719594594594593,0.8757601351351351,0.7091216216216217,0.22179054054054056,0.4091216216216216,0.3293918918918919,0.004391891891891892,0.0,0.0
